Date,Network,Message,Message URL,Message ID,Name,Profile,Followers,Comments,Shares,Likes,Sentiment,Location,Hashtags,Images,Language
20/6/2024 4:14 pm,LinkedIn,"💡 ""According to Dun & Bradstreet, 59% of #Fortune500 companies endure a minimum of 1.6 hours of downtime each week, averaging a weekly cost ranging from $643,200 to $1,056,000"" 

https://lnkd.in/dx3iHmSB",https://www.linkedin.com/feed/update/urn:li:share:7209649754287308801,7.20965E+18,Mikayla Reddy,Mikayla Reddy,0,0,0,0,Neutral,,#fortune500,,en
20/6/2024 12:00 pm,Instagram,"Level up your business game!  A DUNS number is your key to unlocking opportunities.  #DUNSNumber

Here's why you NEED one:

Grants, Contracts & Loans: It's practically mandatory for government grants, contracts, and SBA loans. No DUNS, no go! #GovernmentFunding #GrantReady #SBAloans

Bonus Perks:
Credibility Boost: A DUNS number verifies your business on Dun & Bradstreet, a trusted source. This builds trust with partners, vendors, and clients. #BusinessCredibility #TrustBuilder #VerifiedEntity
Smoother Processes: ✅ Having a DUNS number simplifies vendor onboarding and other business dealings. #StreamlinedBusiness #VendorManagement #EfficiencyMatters

Get yours today! ➡️Maisha@mbconsultsolution.com #foryouシ #DUNSNumber  #BusinessGrowth #UnlockYourPotential #EmpoweringEntrepreneurs #BeTheBoss #FutureProofYourBusiness #ThriveNotJustSurvive #GrowthMindset #LetsCollaborate #NoMoreGuesswork",https://www.instagram.com/p/C8cYSZ1x7Ed/,1.7994E+16,,,0,0,0,0,Positive,,"#streamlinedbusiness, #governmentfunding, #verifiedentity, #businesscredibility, #foryouシ, #futureproofyourbusiness, #businessgrowth, #empoweringentrepreneurs, #thrivenotjustsurvive, #nomoreguesswork, #grantready, #letscollaborate, #dunsnumber, #trustbuilder, #betheboss, #sbaloans, #vendormanagement, #efficiencymatters, #growthmindset, #unlockyourpotential",https://scontent-iad3-2.cdninstagram.com/v/t39.30808-6/448676541_122157030164185921_740940051178722181_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=18de74&_nc_ohc=Zm83Ykz5aFkQ7kNvgFMHdlt&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AYBwojlSwbf_zwVzLapvgxwK4RcnYuQvDyvknJaotpfyKQ&oe=667A24CD,en
20/6/2024 11:52 am,LinkedIn,"The Eyeota, a Dun & Bradstreet company and Dun & Bradstreet team are delighted to be returning to ATS Singapore again this year! 🇸🇬

Last year, Eyeota's Co-Founder and GM of Advertising Solutions at Dun & Bradstreet, Kristina Prokop took to the stage to discuss the ever-evolving data landscape, and the pathways to success within it 🎙️ This made for a great discussion with such an engaging audience.

Members of the team showed their support and further discussed the latest trends, emerging technologies, and innovative strategies shaping the future of our industry, and we hope to do the same again this year.

If you'll be there and want to meet with a member of the team, click the link below 👇
https://lnkd.in/e4PSQ-uD",https://www.linkedin.com/feed/update/urn:li:ugcPost:7209583835829669888,7.20958E+18,"Eyeota, a Dun & Bradstreet company","Eyeota, a Dun & Bradstreet company",0,0,0,0,Positive,,,,en
20/6/2024 11:31 am,Instagram,"WorkID is important for the social, strategic, economic development of India and the world. click on https://workid.in/ to Create your profile and Make a significant contribution to the social, strategic, economic development of your country. #WorkID #WorkIDSocialMediaFirst #WorkIDSocialMediaWorldLive #WorkIDWorldsMostMordenSocialMedia #NewIndia #WorkIDSuperTechnology #Asia  #Global #IT #Tech #WorldCitizens #EaseOfDoingBusiness #USAID #NIDHISeedFund #AtalIncubationCenter #DunandBradstreet #JanSamarth  #Bank #rbi #CGTMSE #Udyamita #CII #ASSOCHAM #StartupIndia #InvestInIndia #FinMinIndia #MCA21INDIA #DPIIT #MSH_MEITY #MSInSociety",https://www.instagram.com/p/C8cVA8Gobem/,1.78873E+16,,,0,0,0,0,Positive,,"#workidworldsmostmordensocialmedia, #usaid, #workid, #easeofdoingbusiness, #newindia, #workidsocialmediaworldlive, #rbi, #msinsociety, #atalincubationcenter, #jansamarth, #cii, #mca21india, #asia, #bank, #udyamita, #cgtmse, #finminindia, #worldcitizens, #investinindia, #it, #dpiit, #workidsocialmediafirst, #global, #msh_meity, #assocham, #workidsupertechnology, #tech, #startupindia, #nidhiseedfund, #dunandbradstreet",https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/448467908_442349185419615_6096843520380809500_n.webp?stp=dst-jpg&_nc_cat=103&ccb=1-7&_nc_sid=18de74&_nc_ohc=_N3C1kMMtgoQ7kNvgHlgliy&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AYDk8KwPsSuboXLvdNaSrumZWh1k0NnskX63WJuuSOwdqw&oe=667A4FE8,en
20/6/2024 11:30 am,Instagram,"WorkID is important for the social, strategic, economic development of India and the world. click on https://workid.in/ to Create your profile and Make a significant contribution to the social, strategic, economic development of your country. #WorkID #WorkIDSocialMediaFirst #WorkIDSocialMediaWorldLive #WorkIDWorldsMostMordenSocialMedia #NewIndia #WorkIDSuperTechnology #Asia  #Global #IT #Tech #WorldCitizens #EaseOfDoingBusiness #USAID #NIDHISeedFund #AtalIncubationCenter #DunandBradstreet #JanSamarth  #Bank #rbi #CGTMSE #Udyamita #CII #ASSOCHAM #StartupIndia #InvestInIndia #FinMinIndia #MCA21INDIA #DPIIT #MSH_MEITY #MSInSociety",https://www.instagram.com/p/C8cU84mMilh/,1.82563E+16,,,0,0,0,0,Positive,,"#workidworldsmostmordensocialmedia, #usaid, #workid, #easeofdoingbusiness, #newindia, #workidsocialmediaworldlive, #rbi, #msinsociety, #atalincubationcenter, #jansamarth, #cii, #mca21india, #asia, #bank, #udyamita, #cgtmse, #finminindia, #worldcitizens, #investinindia, #it, #dpiit, #workidsocialmediafirst, #global, #msh_meity, #assocham, #workidsupertechnology, #tech, #startupindia, #nidhiseedfund, #dunandbradstreet",https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/448737179_1145825913393529_2347125684775626016_n.webp?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=18de74&_nc_ohc=Dt_w_Jo-tfMQ7kNvgH3SWzH&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AYD-KVOGjrA4BuGHjOu7VmmRUyZJXZAgO28UqtW14PuxCQ&oe=667A5B07,en
20/6/2024 11:30 am,Instagram,"WorkID is important for the social, strategic, economic development of India and the world. click on https://workid.in/ to Create your profile and Make a significant contribution to the social, strategic, economic development of your country. #WorkID #WorkIDSocialMediaFirst #WorkIDSocialMediaWorldLive #WorkIDWorldsMostMordenSocialMedia #NewIndia #WorkIDSuperTechnology #Asia  #Global #IT #Tech #WorldCitizens #EaseOfDoingBusiness #USAID #NIDHISeedFund #AtalIncubationCenter #DunandBradstreet #JanSamarth  #Bank #rbi #CGTMSE #Udyamita #CII #ASSOCHAM #StartupIndia #InvestInIndia #FinMinIndia #MCA21INDIA #DPIIT #MSH_MEITY #MSInSociety",https://www.instagram.com/p/C8cU26qIsD1/,1.82695E+16,,,0,0,0,0,Positive,,"#workidworldsmostmordensocialmedia, #usaid, #workid, #easeofdoingbusiness, #newindia, #workidsocialmediaworldlive, #rbi, #msinsociety, #atalincubationcenter, #jansamarth, #cii, #mca21india, #asia, #bank, #udyamita, #cgtmse, #finminindia, #worldcitizens, #investinindia, #it, #dpiit, #workidsocialmediafirst, #global, #msh_meity, #assocham, #workidsupertechnology, #tech, #startupindia, #nidhiseedfund, #dunandbradstreet",https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/448748015_1713931026025514_5951584091322033560_n.webp?stp=dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=18de74&_nc_ohc=0T9foI_c6fYQ7kNvgHaGLm9&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AYCxLeseqwuC2Q1b9N1iZUPEx5bsbfQPAUbpNXnuIvGHSg&oe=667A575B,en
20/6/2024 11:29 am,Instagram,"WorkID is important for the social, strategic, economic development of India and the world. click on https://workid.in/ to Create your profile and Make a significant contribution to the social, strategic, economic development of your country. #WorkID #WorkIDSocialMediaFirst #WorkIDSocialMediaWorldLive #WorkIDWorldsMostMordenSocialMedia #NewIndia #WorkIDSuperTechnology #Asia  #Global #IT #Tech #WorldCitizens #EaseOfDoingBusiness #USAID #NIDHISeedFund #AtalIncubationCenter #DunandBradstreet #JanSamarth  #Bank #rbi #CGTMSE #Udyamita #CII #ASSOCHAM #StartupIndia #InvestInIndia #FinMinIndia #MCA21INDIA #DPIIT #MSH_MEITY #MSInSociety",https://www.instagram.com/p/C8cUzBgCiKK/,1.8438E+16,,,0,0,0,0,Positive,,"#workidworldsmostmordensocialmedia, #usaid, #workid, #easeofdoingbusiness, #newindia, #workidsocialmediaworldlive, #rbi, #msinsociety, #atalincubationcenter, #jansamarth, #cii, #mca21india, #asia, #bank, #udyamita, #cgtmse, #finminindia, #worldcitizens, #investinindia, #it, #dpiit, #workidsocialmediafirst, #global, #msh_meity, #assocham, #workidsupertechnology, #tech, #startupindia, #nidhiseedfund, #dunandbradstreet",https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/448388573_824702872592810_1252566867779882034_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=18de74&_nc_ohc=BUxrk7KKl1AQ7kNvgGZ2LLA&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AYDEn0y8m_qkzntNrhuIHU_1SPqVx0a7iFDo3FG9oIgfhw&oe=667A3C0C,en
20/6/2024 10:00 am,LinkedIn,"""B2B marketers typically get just one chance to align with an SMB’s buying journey""

Eyeota, a Dun & Bradstreet company's Co-Founder and GM of Advertising Solutions at Dun & Bradstreet, Kristina Prokop recently spoke to Digital Commerce 360 to shed light on the importance of tailoring marketing strategies to meet the needs of small and medium-sized businesses in today's competitive landscape.

Check out her insights and roadmap for engaging SMB buyers in the full blog below 👇
https://hubs.li/Q02Cr86N0",https://www.linkedin.com/feed/update/urn:li:share:7209555592460259328,7.20956E+18,"Eyeota, a Dun & Bradstreet company","Eyeota, a Dun & Bradstreet company",0,0,0,0,Neutral,,,,en
20/6/2024 9:54 am,LinkedIn,"Przygotowanie raportu ESG i jego oficjalna publikacja na zewnątrz jest wielkim wydarzeniem dla każdej organizacji. Tak więc z dumą przesyłam dalej informację oraz możliwość zapoznania się z raportem ESG za rok 2023, dla firmy Dun & Bradstreet! Dla korporacji rzeczywiście globalnej z uwzglęnieniem regulacji w zakresie zrównoważonego rozwoju specyficznych dla US, UE, APAC - przygotowanie jednolitego sprawozdania jest nie lada wyzwaniem. A poza samą sprawozdawczością z całą pewnością warto zwrócić uwagę na działania i ogromne zaangażowanie całej społeczności D&B na rzecz Celów Zrównoważonego Rozwoju 🌱  Zachęcamy do lektury!

I oczywiście... Stay tuned and be inspired by Dun & Bradstreet! 😎 

...........................................................................................................................

Preparing an ESG report and its official publication is a great event for every organization. So I'm proud to share information and the opportunity to read the Dun & Bradstreet ESG Report 2023! For a truly global corporation, taking into account sustainable development regulations specific to the US, EU and APAC, preparing a uniform report is quite a challenge. And apart from the reporting itself, it is certainly worth paying attention to the activities and huge commitment of the entire D&B community towards the Sustainable Development Goals 🌱 We encourage you to read it!

And as always...- Stay tuned and be inspired by Dun & Bradstreet! 😎 ",https://www.linkedin.com/feed/update/urn:li:share:7209554260718456832,7.20955E+18,Irena Sajnacka,Irena Sajnacka,0,0,0,0,Neutral,,,,en
20/6/2024 9:00 am,Instagram,"Our Journey since 2007💙✨

https://www.infinitybludental.co.uk/
https://www.infinitybludentalimplants.co.uk/
.
.
.
.
.
.
.
.
.
#iblu #ibludentalcare #scotland #uk #perthsire #stirlingshire #scottishborders #dentist #dentustry #implantsclinic #pitlochry #dunkeld #alyth #crieff #auchterarder #callander #killin #auchtermuchty #peebles #duns #galashiels #ourjourney #thankyou #infinitybludentalcareandimplantclinic",https://www.instagram.com/reel/C8cDtBLNrLs/,1.80321E+16,,,0,0,0,0,Positive,,"#scotland, #uk, #ibludentalcare, #auchtermuchty, #thankyou, #scottishborders, #dentustry, #dunkeld, #galashiels, #perthsire, #infinitybludentalcareandimplantclinic, #killin, #dentist, #stirlingshire, #iblu, #implantsclinic, #crieff, #duns, #alyth, #peebles, #auchterarder, #ourjourney, #pitlochry, #callander",https://scontent-iad3-1.cdninstagram.com/o1/v/t16/f1/m82/1B4355E54ECF97833645B1D02941FD9B_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLnVua25vd24tQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSJ9&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&vs=973517051076664_2849402341&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8xQjQzNTVFNTRFQ0Y5NzgzMzY0NUIxRDAyOTQxRkQ5Ql92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dNR3B1UnFmYTcxeFdvOERBREc2VTJkeE0yQWZicV9FQUFBRhUCAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJrDe4I%2BgrIRAFQIoAkMzLBdAXMD1wo9cKRgSZGFzaF9iYXNlbGluZV8xX3YxEQB1AAA%3D&ccb=9-4&oh=00_AYDcSaQ9epjmaayMLRP-NA2w24puh0Hgq9e67A7SfT4W8g&oe=667628A3&_nc_sid=1d576d,en
